"","GalID","RA","DEC","Z","GroupID"
"1",1,20.22461,10.7247916,0.0578354741933687,4
"2",2,20.29512,10.8898035,0.05572045685233,4
"3",3,20.30005,10.6136378,0.0554934549911405,4
"4",4,20.00712,10.678955,0.0557164568195337,4
"5",5,20.06724,10.7013004,0.0556194560242236,4
"6",6,20.3872,10.8519883,0.0560314594022416,4
"7",8,20.29935,10.8399562,0.0587604817775109,4
"8",9,20.29796,10.7826604,0.061113501069929,4
"9",10,20.29625,10.6715066,0.0610345004222022,4
"10",11,20.2777,10.8628745,0.0560354594350379,4
"11",12,20.24411,10.692133,0.0550084510145902,4
"12",13,20.29378,10.6823928,0.0585604801376964,4
"13",14,20.34936,10.7351049,0.0598324905669168,4
"14",15,20.22129,10.5305589,0.059573488443357,4
"15",16,20.03216,10.6205133,0.0570764679702725,4
"16",17,20.12519,10.6760902,0.0587584817611128,4
"17",18,20.4535,10.8084435,0.0584264790390206,6
"18",19,20.22331,10.882928,0.0569924672815504,4
"19",20,20.40673,10.6399939,0.055679456516168,4
"20",21,20.50597,10.8370914,0.0568864664124487,7
"21",23,20.05046,10.6680688,0.055940458656126,4
"22",24,20.15081,10.8462587,0.0577244732832716,4
"23",27,20.19007,10.8370914,0.0577964738736048,4
"24",28,20.21583,10.7345319,0.0575624719550219,4
"25",29,20.22045,10.8078705,0.0558934582707695,4
"26",30,20.24437,10.8233404,0.0569824671995597,4
"27",31,20.26931,10.7373967,0.0594344873036859,4
"28",32,20.18837,10.610773,0.0583284782355115,4
"29",33,20.21374,10.720208,0.056298461591394,4
"30",34,19.90355,10.7952654,0.0566004640675139,4
"31",35,20.28954,10.8055787,0.0573134699134527,4
"32",36,20.32735,10.5620716,0.0585594801294973,4
"33",37,20.21086,10.6462964,0.0564044624604957,4
"34",38,20.3034,10.6199404,0.0562604612798292,4
"35",39,20.26406,10.7786497,0.0561674605173155,4
"36",40,20.21715,10.6858305,0.0558984583117649,4
"37",41,20.28532,10.6709336,0.0563054616487875,4
"38",42,20.2844,10.7666176,0.0575704720206144,4
"39",43,20.19142,10.5998868,0.057152468593402,4
"40",44,20.18652,10.7689094,0.0590954845242003,4
"41",45,20.25171,10.7958384,0.0590824844176123,4
"42",46,20.2475,10.6967167,0.0554374545319924,4
"43",47,20.10221,10.787244,0.058473479424377,4
"44",48,20.15307,10.7351049,0.05636746215713,4
"45",49,20.25062,10.6440046,0.0542544448324894,4
"46",50,20.13298,10.6938519,0.058514479760539,4
"47",51,20.24404,10.6967167,0.0586744810723907,4
"48",52,20.27243,10.7585961,0.0571264683802262,4
"49",53,20.10115,10.7815145,0.0583064780551319,4
"50",54,20.11651,10.678955,0.0587574817529137,4
"51",55,20.27548,10.7477099,0.0556364561636079,4
"52",56,20.3443,10.8720418,0.0578334741769706,4
"53",57,20.19758,10.7230728,0.0564754630426298,4
"54",58,20.23843,10.7242187,0.0583634785224791,4
"55",59,20.19322,10.7070299,0.0585894803754695,4
"56",60,20.18822,10.732813,0.059476487648047,4
"57",61,20.12836,10.8084435,0.0579824753986324,4
"58",62,20.22131,10.7150514,0.0585464800229094,4
"59",63,20.16056,10.6972897,0.0577974738818039,4
"60",64,20.19239,10.6491612,0.058334478284706,4
"61",65,20.21759,10.7322401,0.0573264700200407,4
"62",66,20.18188,10.733386,0.0595854885417459,4
"63",67,20.25197,10.7419804,0.0604914959701057,4
"64",68,20.16776,10.6778091,0.0586494808674139,4
"65",69,20.25309,10.7442722,0.0600534923789119,4
"66",70,20.21283,10.7419804,0.0568744663140598,4
"67",71,20.22658,10.7459911,0.0570564678062911,4
"68",72,20.3571,10.7912547,0.0572854696838787,4
"69",73,20.2273,10.7368238,0.0596684892222689,4
"70",74,20.13898,10.6778091,0.058445479194803,4
"71",75,20.24736,10.7425533,0.0591644850899363,4
"72",76,20.26439,10.6474423,0.0542934451522532,4
"73",77,20.16302,10.6491612,0.0601544932070182,4
"74",78,20.24836,10.7522936,0.0606274970851796,4
"75",79,20.21318,10.719635,0.0589694834911171,4
"76",80,20.22636,10.7230728,0.0585814803098769,4
"77",81,20.41653,10.9591314,0.0580964763333267,4
"78",83,20.30714,10.8932412,0.058266477727169,4
"79",84,20.45747,10.9528288,0.0589114830155709,4
"80",85,20.27706,10.8307888,0.0587224814659462,4
"81",86,20.41325,10.9488181,0.0579854754232296,4
"82",87,20.4262,10.9660069,0.057578472086207,4
"83",88,20.5378,11.03361589,0.0575294716844525,8
"84",89,19.95549,10.705884,0.0564544628704493,4
"85",90,20.59729,10.9831956,0.0576784729061143,8
"86",91,20.26493,10.5391533,0.0588084821710664,4
"87",92,20.26682,10.5288401,0.0587094813593582,4
"88",93,20.14969,10.8439669,0.0575744720534107,4
"89",95,20.0289,10.6462964,0.0575724720370126,4
"90",96,20.43519,10.9081381,0.0593794868527369,4
"91",100,20.0559,10.6503071,0.0574444709875313,4
"92",101,20.54238,10.8273511,0.0591444849259548,6
"93",102,21.02273,11.956650897,0.0570874680604623,9
"94",103,21.04574,12.044886397,0.0582904779239468,9
"95",105,20.99481,12.13598669,0.0563504620177458,9
"96",107,21.03883,11.953786108,0.058334478284706,9
"97",108,21.00326,11.956077939,0.0569404668551986,9
"98",109,20.96936,12.055199638,0.0562504611978385,9
"99",110,20.99841,11.939462163,0.058445479194803,9
"100",111,21.10162,11.905657653,0.0568964664944394,9
"101",112,21.02093,11.961234559,0.0573974706021749,9
"102",113,20.99862,11.958942728,0.0586494808674139,9
"103",114,21.01928,11.957223855,0.0557134567949365,9
"104",115,21.01559,11.940035121,0.0578074739637947,9
"105",116,21.02685,11.950921319,0.0563484620013476,9
"106",117,20.85317,12.27521543,0.0569404668551986,10
"107",118,20.88767,12.26662106,0.0568874664206478,10
"108",119,20.84519,12.30558219,0.0569164666584209,10
"109",120,21.06409,12.074680203,0.0566854647644351,9
"110",121,21.01304,12.14114331,0.055597455843844,9
"111",122,12.57791,12.51814954,0.0544434463821142,11
"112",123,12.41408,12.4969501,0.0547464488664332,11
"113",125,12.51298,12.49351235,0.0540944435206378,11
"114",126,12.35933,12.2511512,0.0550204511129791,12
"115",127,12.37276,12.22765993,0.0549144502438774,12
"116",128,12.35355,12.24656754,0.0543384455212115,12
"117",130,19.75265,11.72231116,0.0572224691673371,13
"118",131,19.79539,11.70053876,0.0572384692985223,13
"119",132,19.76469,11.72231116,0.0581964771532339,13
"120",133,19.74403,11.72288412,0.0577304733324661,13
"121",134,19.68404,12.76509435,0.0567574653547683,14
"122",135,19.68,12.72613322,0.0572994697986657,14
"123",136,19.66108,12.77311575,0.0571344684458187,14
"124",137,19.72292,12.72154955,0.056601464075713,14
"125",138,21.07175,12.83213041,0.0521514275898396,15
"126",139,21.09104,12.86994562,0.0524074296888022,15
"127",143,11.81189,12.013946676,0.0554374545319924,16
"128",144,11.75344,12.050043018,0.0552354528757797,16
"129",145,13.27386,13.8296499,0.0560494595498249,17
"130",146,13.29087,13.8812161,0.0559484587217185,17
"131",148,19.21529,12.93125211,0.0571304684130225,18
"132",149,19.21788,12.85734055,0.0572694695526935,18
"133",150,13.03363,13.3002369,0.0561664605091164,19
"134",151,13.03365,13.3025288,0.0562794614356116,19
"135",152,13.03202,13.3094043,0.0559514587463157,19
"136",155,21.95538,12.49351235,0.0555174551879182,20
"137",156,21.94844,12.52330616,0.0555904557864505,20
"138",157,21.95271,12.48491798,0.055899458319964,20
"139",158,21.85779,11.5234948,0.0582454775549885,21
"140",162,21.28378,13.5918724,0.0557504570983021,22
"141",163,21.27056,13.5391603,0.055652456294793,22
"142",164,10.86749,11.57563396,0.0560894598777878,23
"143",165,10.93308,11.61574101,0.0557694572540845,23
"144",168,20.66573,11.31894887,0.0577944738572067,24
"145",169,20.64265,11.35905592,0.0578234740949798,24
"146",172,19.22125,13.055011,0.0574424709711331,25
"147",188,20.90668,13.1804887,0.0526964320583342,26
"148",194,21.80975,11.48854438,0.0583114780961273,21
