"","GalID","RA","DEC","Z","GroupID"
"1",1,10.92189,13.5334308,0.0476293905136329,1
"2",3,10.90585,13.8084505,0.0468063837657961,1
"3",4,10.99981,13.6961508,0.0487813999589646,1
"4",5,10.81245,13.5884347,0.0478383922272391,1
"5",6,11.06685,13.5958832,0.0475643899806932,1
"6",7,10.55921,13.4096719,0.0466363823719537,3
"7",8,10.99695,13.5408792,0.0467883836182128,1
"8",9,10.90642,13.5196798,0.0480003935554888,1
"9",10,11.12987,13.8577249,0.0473913885622536,4
"10",11,10.81131,13.5196798,0.0485153977780113,1
"11",12,10.80329,13.9190314,0.0479983935390907,5
"12",13,11.01013,13.6165096,0.046434380715741,1
"13",14,10.91043,13.543744,0.0477883918172854,1
"14",15,10.92017,13.6887023,0.0489134010412422,1
"15",16,10.81188,13.4996262,0.0479773933669102,1
"16",17,11.01929,13.7717812,0.046200378797158,1
"17",18,10.9534,13.4904589,0.0466693826425231,1
"18",20,11.00955,13.6709406,0.047644390636619,1
"19",21,10.80902,13.570673,0.0480823942278128,1
"20",22,10.96773,13.6823998,0.0466393823965509,1
"21",23,10.92304,13.5345767,0.047920392899563,1
"22",24,10.81417,13.6061964,0.0489174010740385,1
"23",25,10.88121,13.5053558,0.0470883860779346,1
"24",26,10.95913,13.6273958,0.0470293855941893,1
"25",27,10.92475,13.2830482,0.0470493857581707,6
"26",28,10.95627,13.6359902,0.0470693859221522,1
"27",29,10.88236,13.3283119,0.0466733826753194,6
"28",30,10.91788,13.4629569,0.0472673875455686,1
"29",31,11.04049,13.8628815,0.0477583915713133,4
"30",32,10.9259,13.4841564,0.0473933885786517,1
"31",33,10.87892,13.502491,0.047370388390073,1
"32",34,10.88694,13.5059288,0.0479543931783315,1
"33",35,10.84454,13.5271282,0.0482963959824144,1
"34",36,10.87319,13.6445846,0.0484003968351179,1
"35",37,10.87949,13.5655164,0.0477893918254845,1
"36",38,10.91272,13.5019181,0.0471763867994529,1
"37",39,10.81589,13.5998939,0.0495494062558524,1
"38",40,10.80271,13.6090612,0.0468663842577404,1
"39",41,10.81303,13.6090612,0.0473783884556656,1
"40",42,11.06971,13.9854945,0.0485873983683445,7
"41",43,11.12586,13.7798026,0.0459133764440241,1
"42",44,11.15566,13.7803756,0.0462563792563061,1
"43",46,12.98396,13.978046,0.0470223855367957,8
"44",47,12.78687,13.978619,0.0472583874717769,8
"45",48,12.75822,13.828504,0.0458903762554455,9
"46",49,12.70493,13.7517277,0.0467823835690183,10
"47",50,10.09855,13.8577249,0.0493084042798759,11
"48",51,10.01375,13.8714759,0.0484943976058307,11
"49",52,10.07047,13.9717435,0.0480563940146369,11
"50",53,10.10657,13.9064263,0.0461083780428433,12
"51",54,10.055,13.896113,0.0467773835280229,12
"52",55,10.10084,13.9327823,0.0480923943098035,11
"53",56,10.03151,13.9574195,0.0491974033697788,11
"54",57,10.04526,13.910437,0.0480073936128823,11
"55",58,10.07449,13.9608573,0.0484313970892892,11
"56",60,12.29011,11.03991843,0.0454893729676173,13
"57",61,12.30673,11.02903224,0.0454083723034924,13
"58",62,14.9727,13.4514978,0.0482233953838821,14
"59",63,14.85066,13.5328578,0.0484903975730345,14
"60",64,14.99848,13.5775485,0.0492044034271723,14
"61",65,14.94864,13.5196798,0.0488444004755062,14
"62",66,10.78152,12.25630783,0.0546704482433037,15
"63",67,10.81818,12.25057826,0.0556454562373995,15
"64",68,10.86803,12.19786614,0.054992450883405,15
"65",70,11.03763,12.24141093,0.0545044468822576,16
"66",71,11.00726,12.18239628,0.0545854475463825,16
"67",72,13.1358,10.6835387,0.0541094436436239,17
"68",73,13.08366,10.7224998,0.0542584448652857,17
"69",74,13.12491,10.7975573,0.054042443094286,17
"70",75,13.12549,10.6995815,0.0540454431188832,17
"71",76,13.13293,10.6806739,0.0539574423973648,17
"72",78,11.98931,11.03819956,0.0532744367973982,18
"73",79,11.96009,11.03648069,0.053767440839541,18
"74",80,13.8858,11.5223489,0.0490294019923346,19
"75",81,13.8709,11.48682551,0.0486133985815204,19
"76",82,13.87434,11.47765819,0.0488594005984923,19
"77",83,12.00707,12.10046331,0.0548964500962941,20
"78",84,11.98473,12.17093712,0.0544564464887021,20
"79",85,11.96983,12.10848472,0.0544064460787485,20
"80",86,12.00192,12.096452608,0.0544864467346743,20
"81",88,12.55654,13.0607406,0.0462473791825144,21
"82",89,10.73912,10.1930868,0.0498444086745789,22
"83",90,10.7649,10.12204,0.0492044034271723,22
"84",91,10.7586,10.2337668,0.0498454086827779,22
"85",92,10.85084,10.1707415,0.0497604079858568,22
"86",93,10.79928,10.2320479,0.0500024099700324,22
"87",94,10.7712,10.2245995,0.0495884065756163,22
"88",95,12.43278,12.40527686,0.04913140282864,23
"89",96,12.37376,12.35371066,0.0492124034927649,23
"90",97,12.4769,12.44423799,0.0495504062640515,23
"91",98,12.36231,12.45168644,0.0489894016643717,23
"92",99,12.42991,12.40241207,0.0491264027876447,23
"93",100,13.21086,12.44538391,0.0497014075021115,24
"94",101,13.28821,12.4196008,0.0492184035419594,24
"95",102,13.23435,12.46830222,0.0490744023612929,24
"96",103,13.2206,12.45054053,0.0496164068051903,24
"97",104,12.06494,12.55080814,0.0485843983437473,25
"98",105,12.01624,12.56341321,0.0484483972286734,25
"99",107,13.20341,10.6216592,0.0542464447668968,17
"100",108,13.25612,10.6508801,0.0544164461607392,17
"101",109,13.2481,10.6623392,0.0542264446029154,17
"102",110,10.31455,10.475555,0.0500084100192268,26
"103",111,10.31914,10.5242564,0.0499174092731112,26
"104",112,12.9324,10.9385049,0.0543054452506421,27
"105",113,12.88427,10.9213162,0.0543644457343874,27
"106",114,12.80291,10.9436615,0.0537664408313419,27
"107",116,13.90414,12.76337548,0.0464153805599586,28
"108",117,13.90528,12.76509435,0.046283379477681,28
"109",118,11.13904,12.3640239,0.048800400114747,29
"110",119,11.15107,12.45798898,0.0485743982617566,29
"111",120,11.15336,12.45798898,0.0484733974336502,29
"112",121,12.76223,12.49236644,0.049075402369492,30
"113",123,12.77082,12.47976137,0.0490304020005337,30
"114",124,12.46888,12.53763011,0.0488624006230895,23
"115",125,12.49752,12.51929546,0.049172403164802,23
"116",126,12.50956,12.5147118,0.0489374012380199,23
"117",127,10.81188,13.9259068,0.0479953935144935,5
"118",128,10.86116,13.9751812,0.0478973927109844,5
"119",129,10.04985,12.430487,0.0475833901364755,31
"120",131,14.49944,12.19614726,0.0438603596113279,32
"121",132,14.51147,12.20760642,0.0435783572991894,32
"122",133,11.02388,10.8542801,0.0425593489443344,33
"123",134,11.10581,10.8032869,0.042733350370973,33
"124",135,13.78725,12.39324475,0.0505274142745455,34
"125",138,10.32028,10.5064947,0.0499944099044398,26
"126",140,14.46162,13.7035992,0.0475593899396978,35
"127",141,14.46048,13.7574573,0.0475813901200774,35
"128",143,13.22633,10.7190621,0.0541284437994062,17
"129",145,13.22174,13.3477924,0.0484383971466827,36
"130",146,13.07793,11.5848013,0.0492054034353714,37
"131",147,13.09225,11.58938496,0.0496574071413523,37
"132",148,10.66692,13.0361034,0.0488954008936589,38
"133",150,14.48683,12.21906558,0.0439743605460222,32
"134",154,14.42839,13.2778916,0.0502014116016478,39
"135",155,11.83633,13.9969536,0.0477223912761466,40
"136",158,12.62472,10.8972519,0.0455753736727376,41
"137",159,12.69176,10.8892305,0.0452053706390807,41
"138",162,12.87854,13.9832026,0.0460263773705194,8
"139",163,12.89172,13.9740353,0.0459093764112279,8
"140",164,12.88141,13.9820567,0.0464973812322826,8
"141",170,13.29737,13.2503896,0.0483043960480069,36
"142",171,13.25555,13.2480978,0.0483393963349745,36
"143",172,10.68125,13.0790752,0.0489224011150339,38
"144",176,14.33958,12.67743181,0.0440453611281564,42
"145",179,11.74179,13.9362201,0.0482683957528403,40
"146",180,10.87032,12.39610954,0.046118378124834,43
"147",181,10.84454,12.44538391,0.0462893795268755,43
"148",184,10.02464,12.34740812,0.0485323979173955,44
"149",186,12.63274,13.4726972,0.0463633801336069,45
"150",193,10.38216,13.8474116,0.0474963894231562,46
"151",195,13.1083,12.52445208,0.0496174068133894,47
"152",200,13.29909,11.19805479,0.0456993746894226,48
"153",202,10.6039,13.4228499,0.0465083813224724,3
"154",211,14.36307,13.2864859,0.0503324126757263,39
"155",213,12.71926,13.6726595,0.0466283823063611,10
"156",216,10.14267,12.36860756,0.0474423889804063,31
"157",217,12.86192,12.88770732,0.0471713867584576,49
"158",218,10.0424,12.34969995,0.0489134010412422,44
"159",220,10.2458,10.6801009,0.0493834048948064,50
"160",221,15.00364,12.73128984,0.0426023492968945,51
"161",228,13.87721,12.31933319,0.0511874196859335,34
"162",239,12.61212,11.08460914,0.050822416693272,52
"163",244,10.24866,10.7001545,0.0496284069035792,50
"164",253,10.85944,13.4663947,0.0477173912351513,1
"165",257,12.67801,13.910437,0.0453683719755295,9
"166",261,13.04069,12.51241997,0.0492074034517696,47
"167",262,13.27617,11.20779507,0.0451533702127289,48
"168",287,11.15623,13.8073046,0.0475163895871377,4
"169",289,12.61212,13.8892375,0.0451923705324927,9
"170",295,10.83938,13.9092911,0.0483983968187198,5
"171",305,10.41998,13.8995508,0.0477643916205077,46
"172",306,12.93469,12.8676538,0.0471243863731012,49
"173",308,14.27942,12.56742392,0.0439103600212816,42
"174",310,10.42456,13.7591761,0.0472543874389806,46
"175",313,11.08346,13.9854945,0.0485143977698122,7
"176",314,12.71525,11.10122492,0.0509014173409987,52
"177",318,12.48263,13.0670431,0.0459203765014177,21
"178",323,11.17743,13.9493981,0.0476883909973782,4
"179",325,12.39439,12.50611743,0.0486343987537009,23
"180",328,12.58289,13.5792674,0.0458713760996631,45
"181",330,12.71525,13.7351119,0.0343332814987625,53
"182",331,12.69863,13.7712082,0.0346132837945028,53
"183",332,12.71353,13.7121936,0.0345082829336002,53
"184",333,12.70895,13.7374037,0.0343752818431235,53
"185",334,13.47671,13.6955778,0.0416373413847893,54
"186",335,13.45551,13.6445846,0.0413733392202342,54
"187",336,13.42457,13.6881294,0.0418323429836085,54
"188",338,12.51529,10.488733,0.0425253486655659,55
"189",339,12.49237,10.4858682,0.0422123460992561,55
"190",340,12.60581,13.2297631,0.041481340105734,56
"191",341,12.60467,13.1547057,0.0411693375476233,56
"192",342,12.58805,13.1592893,0.0416633415979652,56
"193",343,12.60639,13.2297631,0.041481340105734,56
"194",344,12.66827,13.2263254,0.04155034067147,56
"195",345,15.12167,12.44595686,0.0422453463698255,57
"196",346,15.15433,12.45111348,0.0424483480342373,57
"197",347,15.08214,12.40584982,0.0420283445906268,57
"198",348,10.30997,13.7511547,0.0356372921903532,58
"199",349,10.34034,13.8250663,0.0354702908211081,58
"200",359,12.21276,11.86096695,0.0422403463288302,59
"201",360,12.22021,11.82716244,0.0424453480096401,59
"202",370,15.00651,12.79087746,0.0420983451645619,51
"203",371,14.26854,13.8090235,0.0347732851063544,60
"204",372,14.2651,13.8073046,0.0347732851063544,60
"205",373,12.79603,13.4967615,0.0359272945680843,61
"206",374,12.84302,13.4784268,0.0358142936415891,61
"207",379,15.00536,12.86536197,0.0365662998072918,62
"208",387,12.1039,11.51604636,0.0421703457548951,63
"209",393,12.1549,11.65298327,0.0422293462386404,63
"210",405,13.52827,13.6715136,0.0415263404746923,54
"211",410,14.94921,12.76967802,0.0360962959537276,62
"212",413,12.09588,11.64324299,0.0424073476980753,63
"213",415,11.38312,13.5918725,0.032345265199006,64
"214",417,11.73377,13.4600922,0.0315092583445812,65
"215",418,11.55329,13.421704,0.0313052566719704,65
"216",419,11.39114,13.4154015,0.0320302626162981,65
"217",420,11.52006,13.421131,0.0307312519657027,65
"218",421,11.56131,13.4165474,0.0321362634853998,65
"219",422,11.53209,13.4446223,0.0318352610174789,65
"220",423,11.53782,13.4257147,0.0315402585987525,65
"221",424,11.55272,13.4663947,0.0322432643627006,65
"222",425,11.86154,13.4956155,0.0318982615340205,65
"223",426,11.24275,13.5059288,0.0326632678063111,64
"224",427,11.31608,13.3861806,0.0329002697494913,64
"225",428,13.09111,13.8605897,0.0340802794243971,66
"226",429,13.09283,13.8571519,0.0341272798097535,66
"227",430,13.13752,13.8514223,0.0335752752838654,66
"228",431,14.03133,13.8256392,0.0325312667240335,67
"229",432,13.91674,13.7717812,0.03252426666664,67
"230",433,11.22957,13.3689919,0.0317632604271457,65
"231",434,11.63293,13.543744,0.0316832597712199,65
"232",436,12.02082,11.17112577,0.0315802589267154,68
"233",437,11.94347,11.12471619,0.0316282593202709,68
