"","GalID","RA","DEC","Z","GroupID"
"1",2,11.61842,11.057680086,0.0979128027876046,1
"2",3,11.80298,11.092630511,0.0998488186610094,2
"3",4,11.7921,11.0954953,0.0992068133972047,2
"4",5,13.37594,13.95627355,0.0999708196612962,3
"5",6,13.3857,13.98549445,0.0998948190381667,3
"6",7,12.89796,11.61459506,0.0964787910301344,4
"7",8,12.92384,11.7131438,0.0961967887179959,4
"8",10,12.92138,11.54182942,0.0963667901118383,4
"9",12,12.90086,11.64954549,0.0959237864796491,4
"10",13,12.88766,11.6249083,0.0960477874963341,4
"11",14,12.89738,11.60886548,0.0966447923911805,4
"12",15,11.81054,12.07697205,0.0934227659737683,5
"13",16,11.80201,12.12108975,0.0938497694747723,5
"14",17,11.74302,12.13655965,0.0941267717459155,5
"15",18,11.93024,12.05634555,0.0926467596112879,6
"16",19,11.81121,12.15317535,0.0935947673840088,5
"17",20,11.89195,12.12338155,0.0941737721312719,5
"18",21,11.8769,12.00477935,0.0933457653424397,6
"19",22,11.84437,12.09931735,0.0940497711145869,5
"20",23,11.82601,12.07983675,0.0934337660639581,5
"21",24,11.81629,12.09244185,0.0946057756732713,5
"22",25,11.77392,12.11077655,0.0938057691140131,5
"23",26,11.82369,12.05118895,0.0921417554707562,5
"24",27,11.80596,12.07926385,0.0930217626859402,5
"25",28,11.80482,12.07983675,0.0939837705734481,5
"26",29,12.56546,11.42150829,0.0993958149468294,7
"27",30,12.51107,11.46161533,0.0999098191611528,7
"28",32,13.06337,11.42666491,0.0965047912433103,8
"29",34,13.59737,11.41348688,0.0946997764439841,9
"30",35,13.56296,11.36249363,0.0953407816995897,9
"31",36,13.61228,11.4226542,0.0937987690566196,9
"32",37,13.56811,11.35848293,0.0949657786249374,9
"33",38,13.55723,11.37337983,0.09497377869053,9
"34",39,13.59221,11.41004913,0.0946127757306648,9
"35",40,13.37938,10.37013073,0.0966917927765369,10
"36",41,13.39998,10.33059664,0.0960217872831582,10
"37",42,11.75698,10.970590501,0.0959987870945795,11
"38",43,11.78394,10.987779235,0.0961207880948664,11
"39",44,15.20282,11.3344187,0.0996818172917642,12
"40",46,15.2223,11.33098095,0.0998638187839955,12
"41",48,13.0698,12.84989205,0.0974787992292071,13
"42",49,13.08242,12.87281035,0.0972457973188232,13
"43",50,13.02919,12.91349035,0.0972777975811935,13
"44",51,13.01145,12.92666845,0.0978118019594983,13
"45",52,13.04862,12.86135125,0.0970207954740318,13
