"","GalID","RA","DEC","Z","GroupID"
"1",4,18.98431,12.92953316,0.0979528031155676,1
"2",5,18.96049,12.96792134,0.0984428071331132,1
"3",6,18.95305,12.96964021,0.0976948010002068,1
"4",8,18.17303,10.8170378,0.0998668188085927,2
"5",9,18.1695,10.8262051,0.0990948124789086,2
"6",10,20.27564,13.4984803,0.0988048101011775,3
"7",11,20.28027,13.4938966,0.0982818058130625,3
"8",12,20.24995,13.501345,0.0990858124051169,3
"9",16,19.61998,13.7402684,0.0986108085105574,4
"10",17,19.63695,13.7482899,0.0987818099125988,4
"11",18,17.22471,13.760322,0.0976868009346142,5
"12",19,17.21003,13.7339659,0.0974307988356516,5
"13",20,17.22725,13.7030262,0.0973497981715267,5
"14",21,18.59816,13.1856453,0.0988268102815571,6
"15",22,18.63589,13.1776239,0.0985678081579973,6
"16",23,18.59078,13.1816346,0.0992008133480103,6
"17",24,18.87883,12.31589537,0.0997518178656993,7
"18",25,18.87883,12.31589537,0.0992598138317556,7
"19",27,18.06319,13.6205203,0.0979918034353314,8
"20",28,18.06262,13.6205203,0.0979918034353314,8
"21",30,19.38392,13.5385873,0.0984878075020715,9
"22",31,19.38879,13.5597867,0.0980338037796924,9
"23",32,19.3845,13.5374414,0.0984158069117382,9
"24",33,18.99303,12.8109309,0.0986478088139231,10
"25",34,19.00204,12.82353597,0.0988288102979552,10
"26",38,18.23128,10.800422,0.0995698163734681,2
"27",41,19.74125,13.9482521,0.0983398062886087,11
"28",42,19.75773,13.949971,0.0990388120197605,11
"29",43,19.08288,13.2532543,0.09896381140483,12
"30",44,19.09912,13.2291901,0.0992878140613296,12
"31",45,19.08498,13.2692971,0.0985428079530205,12
"32",46,19.11923,13.217158,0.0987898099781914,12
"33",47,18.70499,12.47575059,0.098852810494733,13
"34",48,18.70388,12.47231284,0.0989278111096634,13
"35",49,21.62199,12.11364126,0.0998638187839955,14
"36",51,18.24909,10.5935842,0.0996758172425698,15
"37",52,18.2465,10.5586338,0.0995788164472597,15
"38",54,17.15391,12.59148806,0.0990818123723206,16
"39",55,17.13735,12.5869044,0.0985578080760065,16
"40",60,21.70888,13.4658217,0.0967227930307082,17
"41",61,21.63683,13.4772808,0.0964927911449214,17
"42",63,21.56518,13.4136825,0.0987038092730711,18
"43",64,21.57152,13.4102448,0.0991028125445011,18
"44",66,18.76827,12.61039567,0.099527816029107,19
