"","GalID","RA","DEC","Z","GroupID"
"1",15,18.4048,11.85409142,0.0644925287745955,5
"2",16,18.55654,11.82143283,0.0679535571515861,5
"3",17,18.58644,11.8300272,0.0676585547328597,5
"4",18,18.67033,11.58995788,0.0657085387446679,3
"5",19,18.58519,11.55386154,0.066177542590033,3
"6",20,18.73683,11.77903395,0.0648805319558357,5
"7",23,18.52883,11.86841537,0.0630205167055606,5
"8",24,18.66715,11.74694832,0.0656395381789319,5
"9",25,18.50632,11.85179959,0.0611315012175123,5
"10",27,18.45789,11.82257874,0.070923581502832,5
"11",28,18.52216,11.82601649,0.0617355061697522,5
"12",29,18.70792,11.81684917,0.064567529389526,5
"13",31,18.80561,11.77502325,0.064195526339471,5
"14",32,18.4307,11.86440466,0.0703235765833884,5
"15",33,18.38445,11.819141,0.064278527019994,5
"16",34,18.32228,11.86497762,0.0667495472799026,5
"17",36,18.50239,11.72574888,0.0655085371048534,5
"18",37,18.44024,11.83862156,0.065956540778038,5
"19",38,18.63619,12.00821708,0.0659035403434871,5
"20",39,18.72978,11.7606993,0.0665115453285233,5
"21",40,18.28861,11.81283846,0.0650655334726642,5
"22",41,18.68328,11.81971396,0.0667985476816572,5
"23",43,18.47788,11.67418268,0.0665225454187131,5
"24",44,18.35652,11.84148635,0.0661605424506488,5
"25",45,18.54244,11.91711678,0.0667485472717035,5
"26",47,18.16011,11.96868298,0.0661325422210747,6
"27",48,18.32526,11.7309055,0.0657875393923947,5
"28",49,18.78786,11.90164692,0.0675175535767904,5
"29",50,18.59442,11.95665087,0.0669435488705227,5
"30",51,18.37545,11.69710099,0.0666795467059675,5
"31",52,18.69019,11.88617706,0.0662425431229727,5
"32",53,18.39463,11.80195226,0.066108542024297,5
"33",54,18.57499,11.96639115,0.0665465456154908,5
"34",55,18.67232,11.87643678,0.067029549575643,5
"35",56,18.56442,11.87128016,0.0683975607919744,5
"36",58,18.50746,11.85122663,0.0694485694091998,5
"37",59,18.56907,11.87758269,0.0675545538801561,5
"38",60,18.67923,11.81513029,0.0682265593899329,5
"39",61,18.49905,11.87414495,0.0662485431721672,5
"40",62,18.47711,11.71887338,0.0664825450907502,5
"41",63,18.59362,11.79794156,0.0652805352354648,5
"42",64,18.32103,11.92456523,0.0666135461648287,5
"43",65,18.46107,11.859821,0.069781572139491,5
"44",66,18.32422,11.81856804,0.0651515341777845,5
"45",67,18.57956,11.83117311,0.0657285389086494,5
"46",68,18.50747,11.92112749,0.062834515180533,5
"47",69,18.54784,11.87758269,0.0644795286680076,5
"48",70,18.46404,11.80309818,0.0659525407452417,5
"49",71,18.45165,11.83060015,0.0676895549870309,5
"50",72,18.56063,11.96467228,0.0656355381461356,5
"51",73,18.49279,12.01853028,0.0660935419013109,5
"52",74,18.49187,11.90794946,0.0671355504447447,5
"53",75,18.54497,11.94461875,0.0646605301520398,5
"54",76,18.38428,11.87013424,0.0655425373836219,5
"55",77,18.61725,11.68048521,0.0647235306685813,5
"56",78,18.53079,11.89706326,0.0674145527322859,5
"57",79,18.59467,11.85294551,0.0649165322510024,5
"58",80,18.53305,11.89305255,0.0693715687778712,5
"59",81,18.49223,11.81283846,0.0647635309965442,5
"60",82,18.6667,11.95435904,0.0664035444430235,5
"61",83,18.57264,11.76012634,0.0668775483293839,5
"62",84,18.46028,11.83346494,0.0661665424998432,5
"63",85,18.59863,11.84664297,0.067828556126702,5
"64",86,18.56493,11.79679564,0.0678655564300677,5
"65",87,18.53069,11.95206721,0.0682705597506921,5
"66",88,18.63538,11.78590945,0.0648275315212849,5
"67",89,18.48931,11.87586382,0.0655435373918209,5
"68",90,18.64652,11.87872861,0.0637135223875179,5
"69",91,18.55849,11.84836185,0.0659235405074686,5
"70",92,18.51445,11.72746775,0.0657425390234364,5
"71",93,18.54525,11.84320523,0.0667955476570599,5
"72",94,18.56603,11.85752917,0.0669215486901431,5
"73",95,18.48899,11.76872071,0.0680415578731045,5
"74",96,18.58477,11.83575677,0.0676055542983088,5
"75",97,18.5554,11.82257874,0.069837572598639,5
"76",98,18.542,11.86555058,0.0703625769031522,5
"77",99,18.58578,11.88675002,0.0633715195834351,5
"78",100,18.34075,11.87872861,0.0659835409994129,5
"79",101,18.67829,11.77502325,0.0646885303816138,5
"80",102,18.59259,11.81169255,0.0626265134751259,5
"81",103,18.31317,11.87357199,0.0661485423522599,5
"82",104,18.59508,11.8340379,0.0665115453285233,5
"83",105,18.52805,11.84435114,0.0669565489771106,5
"84",106,18.57468,11.79622269,0.0665435455908936,5
"85",107,18.54928,11.8449241,0.0646615301602388,5
"86",108,18.6212,11.73892691,0.0644135281268688,5
"87",109,18.4867,11.69996578,0.0656505382691217,5
"88",110,18.6541,11.82773536,0.0643955279792855,5
"89",111,18.54289,11.83575677,0.0653905361373628,5
"90",112,18.52871,11.85466438,0.0675145535521932,5
"91",113,18.53681,11.79450381,0.0655945378099737,5
"92",114,18.55426,11.82372466,0.066589545968051,5
"93",115,18.49039,11.79851452,0.0662495431803662,5
"94",116,18.53724,11.84549706,0.0665425455826946,5
"95",117,18.52183,11.65126436,0.0642475267658227,5
"96",118,18.52129,11.85810213,0.0663685441560559,5
"97",119,18.53944,11.8340379,0.0675135535439941,5
"98",120,18.51885,11.84091339,0.0679465570941926,5
"99",121,18.53883,11.82945424,0.0673035518221889,5
