"","GalID","RA","DEC","Z","GroupID"
"1",10,19.70099,13.66521105,0.0704415775508789,1
"2",11,19.72112,13.57926735,0.0707875803877581,1
"3",12,19.7022,13.60390455,0.0705435783871843,1
"4",13,19.69928,13.65317885,0.0712225839543547,1
"5",14,19.68608,13.68526455,0.0711325832164382,1
"6",15,19.72227,13.57926735,0.0706995796662397,1
"7",16,19.78873,13.54374395,0.0701225749353748,1
"8",17,19.80421,13.52999295,0.0704625777230595,1
"9",18,19.78587,13.53858735,0.0697835721558891,1
"10",19,19.79167,13.47842675,0.0707065797236332,1
"11",20,19.96167,13.06074055,0.0706145789693185,2
"12",21,19.96052,13.06704305,0.070373576993342,2
"13",22,19.95536,13.06589715,0.0702605760668468,2
"14",23,21.05494,13.41941215,0.0756546202926448,3
"15",24,21.05781,13.41941215,0.0751416160865206,3
"16",25,20.11006,13.91731245,0.0703525768211615,4
"17",26,20.10949,13.91502065,0.0700995747467961,4
"18",29,19.74415,12.97078615,0.0664925451727409,5
"19",30,19.74644,12.97479685,0.0666385463698055,5
"20",31,19.78929,13.05959465,0.0665745458450649,5
"21",36,14.91928,11.62949197,0.065448536612909,6
"22",41,19.44195,12.79030445,0.0672805516336102,7
"23",42,19.42993,12.79145035,0.0669085485835551,7
"24",43,15.59482,12.08613935,0.0660935419013109,8
"25",44,15.60326,10.76547161,0.064457528487628,9
"26",45,15.65253,10.65947442,0.0655865377443811,10
"27",50,19.26549,12.28266385,0.0666595465419861,11
"28",51,19.26779,12.26547515,0.0667315471323193,11
"29",58,14.90727,11.71257085,0.0653755360143767,6
"30",77,15.6663,10.76776344,0.0651665343007705,9
"31",80,15.74768,10.80672457,0.0644045280530772,9
"32",81,15.59178,10.64858822,0.06554453740002,10
"33",82,20.16677,13.90012375,0.0701305750009673,4
"34",84,15.6607,12.04030275,0.0660425414831582,8
"35",98,17.13891,11.40431955,0.0613625031114981,12
"36",99,17.17214,11.3968711,0.0607684982412489,12
"37",100,17.1326,11.40317364,0.0613285028327296,12
"38",101,20.91345,12.31360355,0.0624875123354548,13
"39",102,20.9386,12.34568925,0.0628405152297275,13
"40",103,16.19985,10.67952794,0.0633005190013009,14
"41",104,16.22392,10.69041414,0.0626815139260749,14
"42",105,16.24168,10.69442484,0.0628045149345609,14
"43",106,14.35404,10.9900710661,0.0633205191652824,15
"44",107,14.35005,11.029032196,0.0630455169105374,15
"45",109,18.90666,12.55309995,0.059834490583315,16
"46",110,16.64505,11.14190488,0.0632715187635278,17
"47",111,16.64792,11.13331051,0.0632725187717269,17
"48",112,21.23486,13.70531805,0.0623405111301911,18
"49",113,21.26123,13.68812935,0.0627495144836119,18
"50",119,15.53832,13.59473725,0.0627575145492044,19
"51",120,15.46732,13.59588315,0.0624745122288669,19
"52",128,20.71643,13.88007015,0.0603934951665966,20
"53",130,10.61737,12.49007455,0.0609704998974616,21
"54",131,10.62023,12.48835575,0.0605154961668835,21
"55",132,20.70944,13.16788365,0.0621675097117516,22
"56",133,20.74388,13.11230675,0.0624425119664965,22
"57",134,20.30202,13.80157495,0.0621745097691451,23
"58",135,20.30089,13.78667805,0.0620515087606591,23
"59",141,20.64944,13.88522685,0.0604204953879716,20
"60",142,20.60826,13.85657895,0.0605984968474065,20
"61",153,20.69019,13.81589895,0.0597554899355882,20
"62",155,10.61822,13.00688255,0.0616655055958171,24
"63",164,20.54342,13.95570065,0.0604764958471197,20
"64",169,20.59479,13.25096255,0.0619495079243537,22
"65",176,18.92448,12.48033425,0.0603464947812402,16
"66",199,20.49415,13.97976485,0.0603684949616198,20
"67",207,20.56577,13.93965775,0.0597914902307549,20
"68",211,10.45901,13.34320875,0.0620075083998999,25
"69",214,10.58168,13.07277265,0.0617425062271457,24
"70",217,20.68019,13.19939635,0.0619415078587611,22
"71",224,18.89412,13.12777655,0.0329632702660329,26
"72",233,19.00469,13.08480475,0.0333792736768471,26
"73",241,20.24261,10.15355268,0.0150561234452383,27
"74",242,20.50433,12.40814165,0.0149911229122986,28
"75",243,20.64708,12.31933315,0.0147001205263685,28
"76",246,12.5485,13.29106955,0.0102980844340505,29
"77",247,12.47181,13.33060365,0.0101420831549952,29
